PrecinctYear,Precinct,Year,Taxis,Flyers,Seniors,Outreach,HandsOn,Edu_Total
442016,44,2016,1,0,1,6,0,8
442015,44,2015,3,0,0,25,1,29
442014,44,2014,0,0,0,12,3,15
252014,25,2014,0,0,2,12,0,14
252015,25,2015,2,0,0,6,0,8
252016,25,2016,0,0,0,3,0,3
342015,34,2015,3,0,1,9,2,15
632016,63,2016,0,0,3,3,0,6
632014,63,2014,0,0,3,5,1,9
632015,63,2015,0,0,0,9,5,14
662016,66,2016,0,0,0,7,1,8
662015,66,2015,8,0,1,4,3,16
662014,66,2014,0,5,3,7,1,16
812016,81,2016,0,0,0,5,0,5
812014,81,2014,0,0,0,11,0,11
812015,81,2015,2,0,0,7,0,9
1052016,105,2016,0,0,1,2,1,4
1052014,105,2014,0,0,1,12,1,14
1052015,105,2015,2,0,4,19,1,26
1112015,111,2015,0,0,1,4,0,5
282014,28,2014,1,0,3,8,0,12
132015,13,2015,1,0,0,5,3,9
132014,13,2014,0,0,0,4,3,7
612014,61,2014,0,0,7,11,0,18
342014,34,2014,2,3,0,11,2,18
432014,43,2014,0,3,3,21,3,30
432015,43,2015,0,0,1,17,1,19
432016,43,2016,0,0,1,12,1,14
92016,9,2016,0,0,1,2,1,4
762014,76,2014,0,0,0,2,0,2
762015,76,2015,3,0,0,4,0,7
772015,77,2015,7,0,0,7,0,14
772014,77,2014,0,1,0,7,1,9
772016,77,2016,0,0,0,3,0,3
1092015,109,2015,7,0,6,7,0,20
622016,62,2016,0,0,1,5,1,7
622015,62,2015,5,0,3,9,0,17
622014,62,2014,0,0,1,7,0,8
52015,5,2015,3,0,3,2,3,11
52014,5,2014,0,3,2,2,1,8
52016,5,2016,0,0,5,1,1,7
1002016,100,2016,0,0,2,1,1,4
1002015,100,2015,0,0,1,2,0,3
1002014,100,2014,0,0,0,5,0,5
332015,33,2015,4,0,1,11,9,25
332014,33,2014,2,2,0,14,3,21
332016,33,2016,0,0,0,7,2,9
942014,94,2014,2,1,0,0,0,3
942015,94,2015,2,0,5,3,1,11
942016,94,2016,0,0,1,3,0,4
1212014,121,2014,0,2,0,14,0,16
702016,70,2016,0,0,0,4,0,4
182015,18,2015,1,0,0,1,3,5
702014,70,2014,2,0,5,9,1,17
702015,70,2015,5,0,1,7,0,13
1042016,104,2016,0,0,0,11,0,11
1042015,104,2015,3,0,0,12,1,16
1042014,104,2014,0,0,3,11,0,14
462014,46,2014,0,2,1,18,4,25
732015,73,2015,0,0,1,6,2,9
732014,73,2014,0,0,0,8,0,8
732016,73,2016,0,0,0,9,1,10
182014,18,2014,0,0,2,3,4,9
1062015,106,2015,3,0,0,6,1,10
792014,79,2014,0,4,0,19,2,25
282015,28,2015,0,0,4,4,0,8
182016,18,2016,0,0,0,0,4,4
132016,13,2016,0,0,1,1,6,8
1112016,111,2016,0,0,1,2,0,3
12015,1,2015,3,0,0,0,0,3
12014,1,2014,9,7,0,2,4,22
12016,1,2016,0,0,0,2,0,2
472014,47,2014,0,4,1,10,2,17
472015,47,2015,0,0,2,15,0,17
472016,47,2016,0,0,1,2,0,3
482016,48,2016,1,0,1,7,3,12
1202015,120,2015,6,0,1,8,1,16
1202014,120,2014,0,1,1,19,4,25
1202016,120,2016,0,0,2,2,8,12
72016,7,2016,0,0,1,2,0,3
72015,7,2015,2,0,2,11,0,15
72014,7,2014,0,4,4,5,0,13
492016,49,2016,0,0,0,3,0,3
1212015,121,2015,0,0,0,5,3,8
1212016,121,2016,0,0,1,1,1,3
492015,49,2015,1,0,2,16,1,20
1082014,108,2014,6,0,2,10,0,18
412016,41,2016,0,0,0,3,0,3
612016,61,2016,0,0,2,3,0,5
412014,41,2014,0,0,0,11,0,11
412015,41,2015,1,0,0,4,1,6
1072014,107,2014,0,0,3,11,0,14
1072015,107,2015,4,0,7,12,0,23
1072016,107,2016,0,0,4,7,1,12
712016,71,2016,0,0,2,6,0,8
712015,71,2015,3,0,1,2,0,6
712014,71,2014,0,3,0,10,0,13
192015,19,2015,1,0,2,3,1,7
192014,19,2014,0,1,13,3,0,17
192016,19,2016,0,0,1,2,1,4
262016,26,2016,0,0,0,6,1,7
262015,26,2015,0,0,0,6,0,6
262014,26,2014,1,4,0,5,1,11
172016,17,2016,0,0,1,2,0,3
342016,34,2016,0,0,1,5,0,6
172014,17,2014,0,2,0,1,1,4
302016,30,2016,0,0,0,1,0,1
302014,30,2014,1,0,1,4,0,6
302015,30,2015,4,0,0,2,3,9
1112014,111,2014,0,0,0,3,0,3
2014,0,2014,0,0,0,7,0,7
502014,50,2014,0,5,1,8,1,15
502015,50,2015,3,0,0,6,0,9
502016,50,2016,0,0,0,2,1,3
1152015,115,2015,10,0,2,4,0,16
1152014,115,2014,0,1,0,16,4,21
1152016,115,2016,0,0,4,7,2,13
1142014,114,2014,1,5,0,14,1,21
1142015,114,2015,38,0,1,16,4,59
1142016,114,2016,3,0,2,3,1,9
1082016,108,2016,0,0,0,2,1,3
752016,75,2016,0,0,3,7,1,11
752015,75,2015,6,0,2,12,1,21
752014,75,2014,0,4,3,22,1,30
462015,46,2015,3,0,0,11,1,15
792016,79,2016,0,0,0,3,0,3
792015,79,2015,5,0,0,3,2,10
462016,46,2016,0,0,2,4,0,6
522016,52,2016,1,0,0,5,1,7
832014,83,2014,2,0,1,12,0,15
832015,83,2015,5,0,0,12,0,17
482015,48,2015,4,0,1,21,2,28
482014,48,2014,0,0,0,17,0,17
1082015,108,2015,19,1,0,5,1,26
92015,9,2015,0,0,2,0,0,2
92014,9,2014,0,0,0,5,0,5
522015,52,2015,2,0,0,16,0,18
1132016,113,2016,0,0,1,6,0,7
1132015,113,2015,3,0,2,8,1,14
1132014,113,2014,0,0,2,20,2,24
1012016,101,2016,0,0,2,1,1,4
1012014,101,2014,3,4,0,3,2,12
1012015,101,2015,0,0,1,5,0,6
232016,23,2016,0,0,0,2,0,2
232014,23,2014,0,0,4,13,0,17
232015,23,2015,2,0,1,6,2,11
1102014,110,2014,0,0,3,4,1,8
1102015,110,2015,6,0,6,13,4,29
1102016,110,2016,0,0,2,6,3,11
1032014,103,2014,2,4,1,15,0,22
1032015,103,2015,5,0,0,5,0,10
1032016,103,2016,0,0,3,2,0,5
242015,24,2015,0,0,0,7,0,7
1222015,122,2015,0,0,1,10,0,11
1222014,122,2014,0,1,3,16,3,23
202015,20,2015,0,0,0,1,1,2
202014,20,2014,0,0,2,6,0,8
1062016,106,2016,0,0,1,2,0,3
722014,72,2014,0,0,2,4,0,6
722015,72,2015,6,0,1,4,0,11
722016,72,2016,0,0,0,8,0,8
1122015,112,2015,3,0,5,2,2,12
1022015,102,2015,8,0,2,4,0,14
1022014,102,2014,0,4,4,7,1,16
1022016,102,2016,0,0,2,2,0,4
402016,40,2016,0,0,0,11,0,11
402015,40,2015,7,1,0,10,2,20
402014,40,2014,0,0,0,18,1,19
142014,14,2014,2,0,4,0,1,7
142015,14,2015,7,0,0,0,1,8
782016,78,2016,0,0,0,6,11,17
612015,61,2015,1,0,5,9,0,15
782014,78,2014,0,0,0,12,2,14
782015,78,2015,6,0,0,4,7,17
602015,60,2015,0,0,1,1,3,5
602014,60,2014,0,0,4,12,1,17
602016,60,2016,0,0,1,3,2,6
1092014,109,2014,0,5,3,11,0,19
682015,68,2015,4,0,3,11,2,20
682014,68,2014,0,0,4,4,0,8
522014,52,2014,0,0,0,10,1,11
682016,68,2016,0,0,2,8,0,10
1232016,123,2016,0,0,0,1,0,1
1232014,123,2014,0,0,0,4,0,4
1122016,112,2016,0,0,1,1,0,2
242014,24,2014,2,1,2,15,1,21
1122014,112,2014,0,0,4,1,1,6
242016,24,2016,0,0,1,0,1,2
422014,42,2014,0,0,0,22,1,23
422015,42,2015,2,0,1,16,0,19
102014,10,2014,0,0,1,1,0,2
422016,42,2016,0,0,0,10,0,10
692014,69,2014,0,4,0,7,0,11
692015,69,2015,0,0,0,13,0,13
692016,69,2016,0,0,0,3,0,3
102015,10,2015,2,0,3,1,0,6
452016,45,2016,0,0,2,9,2,13
452014,45,2014,0,0,10,15,0,25
452015,45,2015,1,0,2,17,2,22
102016,10,2016,0,0,0,0,1,1
672016,67,2016,0,0,1,6,0,7
672014,67,2014,0,0,1,23,0,24
672015,67,2015,1,0,2,14,0,17
282016,28,2016,0,0,0,1,0,1
832016,83,2016,0,0,0,13,0,13
1222016,122,2016,0,0,0,7,0,7
222014,22,2014,0,0,0,0,2,2
492014,49,2014,0,0,0,17,0,17
882016,88,2016,0,0,0,1,0,1
882015,88,2015,1,0,0,2,0,3
882014,88,2014,0,0,0,4,1,5
842016,84,2016,0,0,0,1,0,1
842015,84,2015,5,1,1,11,3,21
842014,84,2014,0,0,0,7,4,11
902014,90,2014,6,2,5,9,1,23
902015,90,2015,3,0,5,10,1,19
902016,90,2016,0,0,4,4,0,8
62016,6,2016,0,0,0,2,0,2
1062014,106,2014,0,0,0,11,0,11
62014,6,2014,0,0,0,3,0,3
62015,6,2015,0,0,1,0,1,2
322014,32,2014,0,0,0,3,0,3
322015,32,2015,0,0,0,6,0,6
322016,32,2016,0,0,2,6,0,8
1092016,109,2016,0,0,2,9,2,13
